input,output
What is the maximum length of imprisonment for someone who enters into an agreement to defraud the United States with respect to claims?,The maximum length of imprisonment is not more than ten years.
"What is the maximum imprisonment penalty for making or presenting a false, fictitious, or fraudulent claim upon or against the United States?","The maximum imprisonment penalty for making or presenting a false, fictitious, or fraudulent claim upon or against the United States is not more than five years."
What are the consequences for making a false claim for postal losses?,"The consequences for making a false claim for postal losses are as follows:

* Shall be fined under this title or imprisoned not more than one year, or both.
* Where the amount of such claim or application for indemnity is less than $1,000 only a fine shall be imposed."
What are the consequences for knowingly making or presenting false claims for pensions or payments?,"The consequences for knowingly making or presenting false claims for pensions or payments are a fine under this title or imprisonment not more than five years, or both."
"What is the penalty for a claim agent who retains discharge papers without consent, refuses to deliver them upon demand, or fails to account for their whereabouts?","The penalty is a fine under this title or imprisonment not more than six months, or both; and debarment from prosecuting any such claim in any department or agency of the United States."
What is prohibited by 18 USC 291?,"According to the section, whoever purchases a claim against the United States for fees, mileage, or expenses of any witness, juror, deputy marshal, or other officer at less than its full face value is prohibited."
"What is the maximum punishment for an individual who solicits employment for themselves or another in respect to a case, claim, or award for compensation under subchapter I of chapter 81 of title 5?","The maximum punishment for an individual who solicits employment for themselves or another in respect to a case, claim, or award for compensation under subchapter I of chapter 81 of title 5 is imprisonment not more than one year, or both."
What is the maximum prison sentence for someone who fraudulently alters or possesses a US coin?,"According to the section, the maximum prison sentence for someone who fraudulently alters or possesses a US coin is five years."
"What is the maximum penalty for an officer or person who commits the offense of debasing coins, altering official scales, or embezzling metals?","The maximum penalty for an officer or person who commits the offense of debasing coins, altering official scales, or embezzling metals is imprisonment not more than ten years, or both."
What is the maximum length of imprisonment for someone who mutilates a national bank obligation with intent to render it unfit to be reissued?,The maximum length of imprisonment for someone who mutilates a national bank obligation with intent to render it unfit to be reissued is not more than six months.
What is the penalty for someone who issues or puts in circulation Federal Reserve notes without complying with the law regulating their issuance and circulation?,"The penalty is to be fined under this title or imprisoned not more than five years, or both."
"What is the maximum penalty that can be imposed upon someone who knowingly puts in circulation any bill, note, check, draft, or other security purporting to have been made by a corporation whose charter has expired?","The maximum penalty that can be imposed is imprisonment not more than five years, or both."
"What is the minimum value of an obligation that cannot be made, issued, circulated, or paid out as if it were money?","The minimum value of an obligation that cannot be made, issued, circulated, or paid out as if it were money is $1."
What coins of the United States are subject to being used as security for loans according to this section?,"According to this section, the coins of the United States that may be used as security for loans are those designated by the Secretary of the Treasury through a proclamation published in the Federal Register."
"What is meant by the term ""common carrier"" as used in this chapter?","A locomotive, a rail carrier, a sleeping car carrier, a bus transporting passengers in interstate commerce, a water common carrier, and an air common carrier."
What is the maximum sentence for someone who operates a common carrier while under the influence of alcohol or drugs?,The maximum sentence is imprisonment not more than fifteen years.
What is the minimum blood alcohol content that presumptively indicates an individual is under the influence of alcohol?,The minimum blood alcohol content that presumptively indicates an individual is under the influence of alcohol is .10 percent.
"What is the punishment for someone who kidnaps an individual designated in subsection (a) of this section, if death does not result to that individual?","According to subsection (b), someone who kidnaps an individual designated in subsection (a) shall be punished by imprisonment for any term of years or for life."
What is the maximum punishment that can be imposed on individuals who conspire to commit an offense against the United States?,"The maximum punishment that can be imposed on individuals who conspire to commit an offense against the United States is imprisonment for not more than five years, or fined under this title, or both."
"What is the maximum penalty for each person who conspires to injure an officer in their person, property, or official duties?","The maximum penalty for each person who conspires to injure an officer in their person, property, or official duties is ""imprisoned not more than six years, or both."""
What would be the maximum term of imprisonment if the crime solicited is punishable by life imprisonment?,"According to the section, if the crime solicited is punishable by life imprisonment or death, the defendant shall be imprisoned for not more than 20 years."
What types of contempt can a court of the United States punish under 18 USC 401?,"According to the section, a court of the United States shall have power to punish the following types of contempt:

1. Misbehavior of any person in its presence or so near thereto as to obstruct the administration of justice.
2. Misbehavior of any of its officers in their official transactions.
3. Disobedience or resistance to its lawful writ, process, order, rule, decree, or command."
What is the maximum fine that can be imposed on a natural person who commits contempt in violation of this section?,"The maximum fine that can be imposed on a natural person who commits contempt in violation of this section is $1,000."
What is punishable by not more than one year's imprisonment in case of a knowing or intentional violation of the privacy protection accorded to child victims and child witnesses?,A criminal contempt punishable by not more than one year's imprisonment.
What will happen if someone fails to repay a sum of money advanced by the United States in consideration of a contract or agreement that was made in violation of 18 USC 431?,Suit shall at once be brought against the person so failing or refusing and his sureties for the recovery of the money so advanced.
What is the penalty for an officer or employee of the United States who makes or enters into a contract with a Member of Congress?,"The penalty is being ""fined under this title""."
What type of contracts are exempt from the provisions of sections 431 and 432 of this title?,"According to the text, the following types of contracts are exempt from the provisions of sections 431 and 432:

1. Contracts or agreements made or entered into by an incorporated company for the general benefit of such corporation.
2. Purchase or sale of bills of exchange or other property where payment is made at the time of making or entering into the contract.
3. Advances, loans, discounts, purchase or repurchase agreements, extensions, or renewals thereof.
4. Acceptances, releases, or substitutions of security therefor.
5. Contracts or agreements made or entered into under certain Acts (listed in the text), such as the Reconstruction Finance Corporation Act, the Agricultural Adjustment Act, and others.
6. Crop insurance agreements or contracts.
7. Any other contracts or agreements which the Secretary of Agriculture may enter into with farmers."
What is the maximum punishment for an officer or employee of the United States who knowingly contracts for a public building or improvement to pay a larger amount than the specific sum appropriated?,"The maximum punishment for an officer or employee of the United States who knowingly contracts for a public building or improvement to pay a larger amount than the specific sum appropriated is imprisonment not more than one year, or both."
What is prohibited by 18 USC 436?,"The prohibition is contracting with any person or corporation to hire out the labor of prisoners confined for violation of any laws of the United States, and permitting wardens, agents, or officials of penal or correctional institutions to do so."
What is the penalty for a person employed in the Postal Service who becomes interested in any contract for carrying the mail?,"The penalty for a person employed in the Postal Service who becomes interested in any contract for carrying the mail is to be fined under this title or imprisoned not more than one year, or both."
What actions by a supplier are prohibited when contracting with the Postal Service?,"The actions that are prohibited by this section when contracting with the Postal Service are:

* Entering into any combination to prevent the making of any bid
* Fixing a price or prices for furnishing such supplies
* Making an agreement, giving or performing, or promising to give or perform consideration to induce another person not to bid
* Giving or performing, or promising to give or perform, consideration to influence another person's bidding at a specified price"
What is prohibited from having during their continuance in office by an individual described in subsection (b) of 18 USC 442?,An individual described in subsection (b) shall not have any printing-related interest.
What is the maximum fine or imprisonment that can be imposed on someone who willfully destroys records related to war contracts?,"The maximum fine or imprisonment that can be imposed on someone who willfully destroys records related to war contracts is fined under this title or imprisoned not more than five years, or both."
"What is the punishment for an individual who, outside the United States, engages in acts that would constitute violations of 471, 473, or 474 if committed within the United States?","The punishment for such an individual is ""as is provided for the like offense within the United States."""
"What is the maximum sentence for someone who falsely makes, forges, counterfeits, or alters any obligation or other security of the United States with intent to defraud?","The maximum sentence for someone who falsely makes, forges, counterfeits, or alters any obligation or other security of the United States with intent to defraud is not more than 20 years, or both."
What is the maximum length of imprisonment for an individual who is found guilty of uttering counterfeit obligations or securities?,20 years.
"What is the maximum imprisonment period for someone who buys, sells, exchanges, transfers, receives, or delivers any false, forged, counterfeited, or altered obligation or other security of the United States with the intent to pass it as true and genuine?",The maximum imprisonment period is not more than 20 years.
"Whoever prints, photographs, or in any other manner makes or executes any engraving, photograph, print, or impression in the likeness of any such obligation or other security, or any part thereof, is guilty of a class B felony.",False.
"What is considered ""distinctive paper"" according to 18 USC 474A?","According to 18 USC 474A, ""distinctive paper"" includes any distinctive medium of which currency is made, whether of wood pulp, rag, plastic substrate, or other natural or artificial fibers or materials."
What is prohibited under 18 USC 475?,"Whoever designs, engraves, prints, makes, or executes, or utters, issues, distributes, circulates, or uses any business or professional card, notice, placard, circular, handbill, or advertisement in the likeness or similitude of any obligation or security of the United States issued under or authorized by any Act of Congress..."
What is the maximum term of imprisonment for someone who takes an impression of a tool used in printing obligations or securities without authority from the United States?,The maximum term of imprisonment is not more than 25 years.
What is the maximum prison sentence for an individual who possesses or sells impressions of tools used for obligations or securities with intent to defraud?,The maximum prison sentence is 25 years.
"What is the maximum prison sentence for someone who falsely makes, alters, forges, or counterfeits any bond, certificate, obligation, or other security of a foreign government?","The maximum prison sentence for someone who falsely makes, alters, forges, or counterfeits any bond, certificate, obligation, or other security of a foreign government is not more than 20 years."
"What is the maximum term of imprisonment for someone who knowingly and with intent to defraud, utters, passes, or puts off a false, forged, or counterfeited foreign obligation or security?",The maximum term of imprisonment is 20 years.
"What is the maximum length of imprisonment that can be imposed for possessing or delivering false, forged, or counterfeit foreign obligations or securities?",The maximum length of imprisonment that can be imposed is 20 years.
"What is considered a criminal offense under 18 USC 481 if someone possesses or uses a plate, stone, or other thing to print counterfeit foreign obligations or securities?","Possessing or using a plate, stone, or other thing to print counterfeit foreign obligations or securities is considered a criminal offense under 18 USC 481."
What is the maximum imprisonment term for someone who falsely makes or alters foreign bank notes with intent to defraud?,20 years
"What is the maximum length of imprisonment for someone who utters, passes, puts off, or tenders in payment a counterfeit foreign bank note with intent to defraud?",20 years.
"What is the penalty for someone who connects together different parts of two or more notes, bills, or other genuine instruments with intent to defraud?","The penalty for someone who connects together different parts of two or more notes, bills, or other genuine instruments with intent to defraud is to be fined under this title or imprisoned not more than 10 years, or both."
What is the maximum imprisonment period for someone who violates 18 USC 485?,The maximum imprisonment period for someone who violates 18 USC 485 is 15 years.
What is the maximum term of imprisonment for someone who violates 18 USC 486?,The maximum term of imprisonment for someone who violates 18 USC 486 is not more than five years.
What is the maximum penalty for making or possessing counterfeit dies for coins in violation of 18 USC 487?,"The maximum penalty for making or possessing counterfeit dies for coins in violation of 18 USC 487 is imprisonment not more than fifteen years, or both."
"What is the maximum sentence one can receive for making or possessing counterfeit dies for foreign coins, according to 18 USC 488?","The maximum sentence one can receive for making or possessing counterfeit dies for foreign coins, according to 18 USC 488, is not more than five years, or both a fine under this title and imprisonment."
What is prohibited by 18 USC 489?,"Making or possessing a likeness of coins of the United States or any foreign country, with intent to sell, give away, or use it without authority from the Secretary of the Treasury or other proper officer."
What is the penalty for someone who possesses a false 5-cent coin with intent to defraud?,"The penalty is being fined under this title or imprisoned not more than three years, or both."
"What is the penalty for someone who, without being lawfully authorized, makes, issues, or passes any coin, card, token, or device in metal intended to be used as money?","The penalty is ""fined under this title, or imprisoned not more than one year, or both""."
What is the penalty for failing to surrender possession of counterfeit paraphernalia upon request by an authorized agent of the Treasury Department?,"The penalty for failing to surrender possession of counterfeit paraphernalia upon request by an authorized agent of the Treasury Department is a fine under this title or imprisonment not more than one year, or both."
"What is the maximum sentence for someone who falsely makes, forges, counterfeits, or alters a note, bond, debenture, coupon, obligation, instrument, or writing issued by certain lending agencies?","The maximum sentence for someone who falsely makes, forges, counterfeits, or alters a note, bond, debenture, coupon, obligation, instrument, or writing issued by certain lending agencies is imprisonment not more than 10 years."
"What is the maximum punishment for someone who falsely makes, alters, forges, or counterfeits any bond, bid, proposal, contract, guarantee, security, official bond, public record, affidavit, or other writing for the purpose of defrauding the United States?","The maximum punishment for someone who falsely makes, alters, forges, or counterfeits any bond, bid, proposal, contract, guarantee, security, official bond, public record, affidavit, or other writing for the purpose of defrauding the United States is imprisonment not more than ten years, or both."
What is the maximum amount of imprisonment for someone who violates 18 USC 495?,The maximum amount of imprisonment for someone who violates 18 USC 495 is 10 years.
"What is the maximum penalty for someone who forges, counterfeits, or falsely alters a writing related to the entry or withdrawal of imports or collection of customs duties?","The maximum penalty is imprisonment not more than three years, or both."
What is the maximum sentence that can be imposed for violating 18 USC 497: Letters patent?,The maximum sentence that can be imposed for violating 18 USC 497: Letters patent is imprisonment not more than ten years.
"What is the penalty for forging, counterfeiting, or falsely altering a certificate of discharge from the military or naval service of the United States?","The penalty is being fined under this title or imprisoned not more than one year, or both."
"What is the maximum punishment for someone who willfully allows another person to use a naval, military, or official pass issued for their own use alone?","The maximum punishment for someone who willfully allows another person to use a naval, military, or official pass issued for their own use alone is imprisonment not more than five years."
"What is the penalty for someone who with intent to defraud, steals or knowingly converts to their own use any blank money order form provided by or under the authority of the Post Office Department or Postal Service?","According to the text, whoever embezzles, steals, or knowingly converts to his own use or to the use of another, or without authority converts or disposes of any blank money order form provided by or under the authority of the Post Office Department or Postal Service shall be fined under this title or imprisoned not more than five years, or both."
"What is considered an illegal activity with regards to postage stamps, postage meter stamps, and postal cards according to 18 USC 501?","According to 18 USC 501, the following activities are considered illegal:

* Forging or counterfeiting any postage stamp, postage meter stamp, stamped envelope, or postal card
* Making or printing, or knowingly using or selling, or possessing with intent to use or sell, any such forged or counterfeited stamps or cards
* Making, or knowingly using or selling, or possessing with intent to use or sell, any paper bearing the watermark of a stamped envelope or postal card, or any fraudulent imitation thereof
* Printing or authorizing the printing of postage stamps, postage meter stamps, stamped envelopes, or postal cards without special authority and direction from the Post Office Department or Postal Service
* Delivering a printed postage stamp, postage meter stamp, stamped envelope, or postal card to someone who is not authorized by a written instrument executed under the hand of the Postmaster General and the seal of the Post Office Department or Postal Service."
What is the punishment for forging or counterfeiting a foreign government's postage or revenue stamp?,"The punishment for forging or counterfeiting a foreign government's postage or revenue stamp is to be fined under this title or imprisoned not more than five years, or both."
What is the maximum length of imprisonment for someone who violates 18 USC 503: Postmarking stamps?,The maximum length of imprisonment for someone who violates 18 USC 503: Postmarking stamps is not more than five years.
What is the maximum linear dimension of each part of any matter that can be illustrated according to this section?,"According to subsection (i) of paragraph (1), all illustrations shall be of a size less than three-fourths or more than one and one-half, in linear dimension, of each part of any matter so illustrated which is covered by subparagraph (A), (B), (C), or (D) of this paragraph."
"What is the maximum penalty for an individual who forgives the signature of any judge, register, or other officer of any court of the United States?","The maximum penalty for an individual who forgives the signature of any judge, register, or other officer of any court of the United States is imprisonment not more than five years."
"What are the penalties for possessing, selling, offering for sale, furnishing, or giving away a forged seal of a department or agency of the United States with the intent to facilitate an alien's application for or receipt of a Federal benefit?","The penalties for possessing, selling, offering for sale, furnishing, or giving away a forged seal of a department or agency of the United States with the intent to facilitate an alien's application for or receipt of a Federal benefit are two times the maximum fine and 3 times the maximum term of imprisonment, or both."
What is the maximum length of imprisonment for individuals found guilty of violating 18 USC 507: Ship's papers?,The maximum length of imprisonment for individuals found guilty of violating 18 USC 507: Ship's papers is three years.
What is the punishment for someone who knowingly alters any form or request provided by the Government for requesting a common carrier to furnish transportation on account of the United States or any department or agency thereof?,"The punishment for someone who knowingly alters any form or request provided by the Government for requesting a common carrier to furnish transportation on account of the United States or any department or agency thereof is:

* Fined under this title or
* Imprisoned not more than ten years, or
* Both."
What is the maximum penalty that can be imposed for violating 18 USC 509?,"The maximum penalty that can be imposed for violating 18 USC 509 is ""fined under this title or imprisoned not more than ten years, or both."""
What is the maximum penalty for someone who falsely makes or forges an endorsement or signature on a Treasury check or bond or security of the United States?,"The maximum penalty for someone who falsely makes or forges an endorsement or signature on a Treasury check or bond or security of the United States is imprisonment not more than 10 years, or both."
"What are the possible penalties for a person who knowingly removes, obliterates, tampers with, or alters an identification number for a motor vehicle or motor vehicle part?","The possible penalties for a person who knowingly removes, obliterates, tampers with, or alters an identification number for a motor vehicle or motor vehicle part are:

* Fined under this title,
* Imprisoned not more than 5 years, or
* Both."
What are the circumstances under which a motor vehicle or motor vehicle part can be seized and forfeited to the United States?,"According to 18 USC 512, a motor vehicle or motor vehicle part can be seized and forfeited to the United States if:

1. The identification number is removed, obliterated, tampered with, or altered.
2. One of the following conditions applies:
   - In the case of a motor vehicle part, it is attached to a motor vehicle and the owner does not know that the identification number has been removed, obliterated, tampered with, or altered.
   - The motor vehicle or part has a replacement identification number authorized by the Secretary of Transportation under chapter 301 of title 49, or conforms to applicable State law.
   - The removal, obliteration, tampering, or alteration is caused by collision or fire, or is carried out as described in section 511(b) of this title.
   - The motor vehicle or part is in the possession or control of a motor vehicle scrap processor who does not know that the identification number was removed, obliterated, tampered with, or altered in any manner other than by collision or fire or as described in section 511(b) of this title."
"What is considered a ""security"" under 18 USC 513?","According to subsection (c)(3) of 18 USC 513, a ""security"" means:

(A) A note, stock certificate, treasury stock certificate, bond, treasury bond, debenture, certificate of deposit, interest coupon, bill, check, draft, warrant, debit instrument as defined in section 916(c) of the Electronic Fund Transfer Act, money order, traveler's check, letter of credit, warehouse receipt, negotiable bill of lading, evidence of indebtedness, certificate of interest in or participation in any profit-sharing agreement, collateral-trust certificate, pre-reorganization certificate of subscription, transferable share, investment contract, voting trust certificate, or certificate of interest in tangible or intangible property;
(B) An instrument evidencing ownership of goods, wares, or merchandise;
(C) Any other written instrument commonly known as a security;
(D) A certificate of interest in, certificate of participation in, certificate for, receipt for, or warrant or option or other right to subscribe to or purchase, any of the foregoing; or
(E) A blank form of any of the foregoing."
"What is the maximum penalty for someone who draws, prints, processes, produces, publishes, or otherwise makes a false or fictitious instrument with intent to defraud?","The maximum penalty for someone who draws, prints, processes, produces, publishes, or otherwise makes a false or fictitious instrument with intent to defraud is a class B felony."
"What is considered a ""criminal street gang"" under 18 USC 521?","According to the description, a ""criminal street gang"" means an ongoing group, club, organization, or association of 5 or more persons that has as one of its primary purposes the commission of one or more of the criminal offenses described in subsection (c), and whose members engage, or have engaged within the past 5 years, in a continuing series of such offenses; and the activities of which affect interstate or foreign commerce."
What is the maximum prison sentence for someone who knowingly effects an entry of goods falsely classified?,The maximum prison sentence for someone who knowingly effects an entry of goods falsely classified is not more than two years.
What constitutes a false statement that can lead to fines or imprisonment under 18 USC 542?,"According to 18 USC 542, a false statement that can lead to fines or imprisonment is any fraudulent or false invoice, declaration, affidavit, letter, paper, or verbal statement. Additionally, making any false statement in a declaration without reasonable cause to believe the truth of such statement, or procuring the making of any such false statement as to any matter material thereto without reasonable cause to believe the truth of such statement is also considered a false statement that can lead to fines or imprisonment."
What is the penalty for an officer of the revenue who knowingly admits goods to entry upon payment of less than the amount of duty legally due?,"The penalty for an officer of the revenue who knowingly admits goods to entry upon payment of less than the amount of duty legally due is a fine under this title or imprisonment not more than two years, or both, and removal from office."
"What is considered to be ""relanded"" at any place in the United States under this section?","Merchandise entered or withdrawn for exportation without payment of duties, or with intent to obtain a drawback of duties or other allowances given by law on exportation thereof."
What is the maximum sentence that can be imposed on an individual who knowingly and willfully smuggles goods into the United States with intent to defraud the country?,The maximum sentence that can be imposed on an individual who knowingly and willfully smuggles goods into the United States with intent to defraud the country is imprisonment not more than 20 years.
What are the consequences of owning or controlling a vessel that is used to smuggle goods into a foreign country in violation of the laws there in force?,"According to the section, the person shall be fined under this title or imprisoned not more than two years, or both."
What is prohibited by 18 USC 547?,"Receiving or depositing merchandise in any building upon the boundary line between the United States and any foreign country, or carrying any merchandise through such a boundary, in violation of law."
"What is the maximum sentence that can be imposed for fraudulently concealing, removing, or repacking merchandise in a bonded warehouse?","The maximum sentence that can be imposed for fraudulently concealing, removing, or repacking merchandise in a bonded warehouse is imprisonment not more than two years."
What is the maximum sentence that can be imposed for violating 18 USC 549?,"The maximum sentence that can be imposed for violating 18 USC 549 is imprisonment not more than 10 years, or both."
What is the maximum prison sentence for someone who knowingly and willfully files a false claim for refund of duties?,The maximum prison sentence for someone who knowingly and willfully files a false claim for refund of duties is 2 years.
"What is the maximum penalty for someone who willfully conceals or destroys an invoice, book, or paper relating to imported merchandise after a collector demands an inspection?","The maximum penalty for someone who willfully conceals or destroys an invoice, book, or paper relating to imported merchandise after a collector demands an inspection is: imprisonment not more than two years, or both."
What is the maximum length of imprisonment for an officer who knowingly aids or abets someone violating laws related to importing obscene or treasonous materials?,The maximum length of imprisonment for an officer who knowingly aids or abets someone violating laws related to importing obscene or treasonous materials is not more than 10 years.
"What is the maximum sentence that can be imposed upon someone who knowingly imports or exports a stolen motor vehicle, off-highway mobile equipment, vessel, or aircraft?","The maximum sentence that can be imposed upon someone who knowingly imports or exports a stolen motor vehicle, off-highway mobile equipment, vessel, or aircraft is imprisonment not more than 10 years, or both."
What is considered an illegal export from the United States under this section?,"According to the section, any merchandise, article, or object that is exported or attempted to be exported from the United States contrary to any law or regulation of the United States is considered an illegal export."
What is the maximum term of imprisonment for a person who knowingly constructs or finances the construction of a tunnel or subterranean passage that crosses the international border between the United States and another country?,The maximum term of imprisonment for a person who knowingly constructs or finances the construction of a tunnel or subterranean passage that crosses the international border between the United States and another country is not more than 20 years.
What is the maximum punishment for an officer who orders troops at a polling place without a legitimate reason?,"The maximum punishment for an officer who orders troops at a polling place without a legitimate reason is imprisonment not more than five years, or both."
What is the maximum penalty that can be imposed under 18 USC 593 for someone who interferes with an election officer's discharge of their duties?,"The maximum penalty that can be imposed under 18 USC 593 for someone who interferes with an election officer's discharge of their duties is:

Fined under this title or imprisoned not more than five years, or both."
What is the maximum punishment for violating 18 USC 594?,"The maximum punishment for violating 18 USC 594 is imprisonment not more than one year, or both."
What is the maximum punishment that can be imposed on someone found guilty of using their official authority to interfere with or affect the nomination or election of a candidate for certain federal offices?,"The maximum punishment that can be imposed on someone found guilty of using their official authority to interfere with or affect the nomination or election of a candidate for certain federal offices is imprisonment not more than one year, or both."
"What is considered ""polling"" according to this section of the US Code?","According to this section, ""polling"" means any request for information, verbal or written, which by its language or form of expression requires or implies the necessity of an answer, where the request is made with the intent of compiling the result of the answers obtained."
What is prohibited by 18 USC 597?,Expenditures to influence voting are prohibited by 18 USC 597.
What is the maximum punishment for someone who uses an appropriation made by Congress to interfere with someone's right to vote at an election?,"The maximum punishment for someone who uses an appropriation made by Congress to interfere with someone's right to vote at an election is imprisonment not more than one year, or both."
What is the maximum imprisonment term for someone who willfully violates this section?,The maximum imprisonment term for someone who willfully violates this section is two years.
What is considered a punishable offense by 18 USC 600?,"Whoever promises any employment, position, compensation, contract, appointment, or other benefit to any person as consideration, favor, or reward for any political activity or for the support of or opposition to any candidate or any political party shall be fined under this title or imprisoned not more than one year, or both."
"What is the punishment for an individual who knowingly causes or attempts to cause someone to make a political contribution by denying or depriving them of employment, compensation, or other benefits?","The punishment for an individual who knowingly causes or attempts to cause someone to make a political contribution by denying or depriving them of employment, compensation, or other benefits is being fined under this title, or imprisoned not more than one year, or both."
"What are the types of individuals that are prohibited from knowingly soliciting contributions from other officers, employees, or persons?","According to the text, the types of individuals that are prohibited from knowingly soliciting contributions from other officers, employees, or persons are:

1. A candidate for Congress
2. An individual elected to or serving in the office of Senator or Representative in, or Delegate or Resident Commissioner to, the Congress
3. An officer or employee of the United States or any department or agency thereof
4. A person receiving any salary or compensation for services from money derived from the Treasury of the United States"
What is the maximum penalty that an individual can face for violating this section?,"According to the section, the maximum penalty that an individual can face for violating this section is:

* Fined under this title
* Imprisoned not more than three years
* Both (fined and imprisoned)"
What is considered a punishable offense according to 18 USC 604?,"Whoever solicits or receives or is in any manner concerned in soliciting or receiving any assessment, subscription, or contribution for any political purpose from any person known by him to be entitled to, or receiving compensation, employment, or other benefit provided for or made possible by any Act of Congress appropriating funds for work relief or relief purposes, shall be fined under this title or imprisoned not more than one year, or both.

The punishable offense according to 18 USC 604 is soliciting or receiving any assessment, subscription, or contribution for any political purpose from a person known by the individual to be entitled to, or receiving compensation, employment, or other benefit provided for or made possible by an Act of Congress appropriating funds for work relief or relief purposes."
What is prohibited from being furnished or disclosed for political purposes?,"A list or names of persons receiving compensation, employment or benefits provided for or made possible by any Act of Congress appropriating, or authorizing the appropriation of funds for work relief or relief purposes."
"What is the punishment for an officer or employee of the United States who discharges, promotes, degrades, or changes the official rank or compensation of another officer or employee in exchange for political contributions?","The punishment for an officer or employee of the United States who discharges, promotes, degrades, or changes the official rank or compensation of another officer or employee in exchange for political contributions is to be fined under this title or imprisoned not more than three years, or both."
"What is prohibited from happening in connection with a Federal, State, or local election?","It shall be unlawful for any person to solicit or receive a donation of money or other thing of value in connection with a Federal, State, or local election from a person who is located in a room or building occupied in the discharge of official duties by an officer or employee of the United States."
What is considered a punishable offense under 18 USC 608?,"Whoever knowingly deprives or attempts to deprive any person of a right under the Uniformed and Overseas Citizens Absentee Voting Act shall be fined in accordance with this title or imprisoned not more than five years, or both."
What is the maximum punishment for an officer who uses military authority to influence the vote of a member of the Armed Forces?,"The maximum punishment for an officer who uses military authority to influence the vote of a member of the Armed Forces is imprisonment not more than five years, or both."
"What constitutes ""coercion of political activity"" under 18 USC 610?","Intimidating, threatening, commanding, or coercing an employee of the Federal Government to engage in or not engage in any political activity."
What is the punishment for violating 18 USC 611?,"The punishment for violating 18 USC 611 is to be fined under this title, imprisoned not more than one year, or both."
"What is the maximum prison sentence for someone convicted of embezzling, stealing, purloining, or knowingly converting to their use or another's a record, voucher, money, or thing of value of the United States or any department or agency thereof?",The maximum prison sentence for someone convicted of such an offense is not more than ten years.
"What are the consequences for someone who takes and carries away tools or materials used in making US-authorized papers, instruments, or obligations without authority?","The consequences for someone who takes and carries away tools or materials used in making US-authorized papers, instruments, or obligations without authority are to be fined under this title or imprisoned not more than ten years, or both."
"What is the maximum amount of money that an individual can embezzle without being fined more than $1,000?","According to the section, if the amount embezzled does not exceed $1,000, the individual shall be fined under this title or imprisoned not more than one year, or both. Therefore, the maximum amount of money that an individual can embezzle without being fined more than $1,000 is $1,000."
"What is the maximum fine that can be imposed if the amount embezzled exceeds $1,000?","The maximum fine that can be imposed is ""under this title"" or ""not more than the amount so embezzled, whichever is greater""."
What is the maximum imprisonment sentence for an individual who commits embezzlement by retaining or converting money to their own use while being a United States court officer?,The maximum imprisonment sentence for an individual who commits embezzlement by retaining or converting money to their own use while being a United States court officer is 10 years.
What is the maximum prison sentence for a clerk or other officer of a court who fails to deposit registry moneys with the Treasurer or designated depositary of the United States?,The maximum prison sentence for a clerk or other officer of a court who fails to deposit registry moneys with the Treasurer or designated depositary of the United States is 10 years.
"What is the maximum fine that can be imposed if the amount embezzled exceeds $1,000?","The maximum fine that can be imposed if the amount embezzled exceeds $1,000 is ""fined under this title or not more than the amount embezzled, whichever is greater""."
What is the maximum amount of money that can be embezzled by an officer or other person charged with the safe-keeping of public moneys before they are subject to a specific fine?,"The maximum amount of money that can be embezzled by an officer or other person charged with the safe-keeping of public moneys before they are subject to a specific fine is $1,000."
"What is the maximum sentence a person can receive if they are found guilty of embezzling $1,000 or less?","The maximum sentence a person can receive if they are found guilty of embezzling $1,000 or less is imprisonment not more than one year, or both."
"What is the maximum prison sentence for an individual who fails to keep safely all moneys deposited by any disbursing officer, agent, receiver, collector, or other person having money of the United States?",The maximum prison sentence for such an individual is not more than 10 years.
What is the maximum imprisonment period for an officer who accepts a receipt or voucher without having paid the full amount specified therein to a creditor of the United States?,The maximum imprisonment period for an officer who accepts a receipt or voucher without having paid the full amount specified therein to a creditor of the United States is not more than two years.
"Whoever pays to an employee of the United States a sum less than that provided by law, requiring them to receipt or give a voucher for an amount greater than actually paid, is guilty of what crime?",Embezzlement.
What is the maximum amount of money that can be embezzled by a disbursing officer without resulting in imprisonment for more than one year?,"The maximum amount of money that can be embezzled by a disbursing officer without resulting in imprisonment for more than one year is $1,000."
"What is the maximum imprisonment period for an officer or employee of the United States who embezzles or wrongfully converts property worth more than $1,000?",The maximum imprisonment period is 10 years.
What is the maximum number of years that a bank examiner or assistant examiner can be imprisoned for stealing or concealing money or property from a bank or banking institution?,The maximum number of years that a bank examiner or assistant examiner can be imprisoned for stealing or concealing money or property from a bank or banking institution is 5 years.
"What is the maximum fine that can be imposed for embezzling, abstracting, purloining, or willfully misapplying moneys, funds, or credits of a bank, branch, agency, or organization?","The maximum fine that can be imposed is $1,000,000."
"What is the maximum fine and imprisonment that can be imposed on an officer, agent, or employee of a lending institution who embezzles funds?","The maximum fine that can be imposed is $1,000,000, and the maximum imprisonment is 30 years."
"What is the maximum term of imprisonment for someone who knowingly conceals, removes, disposes of, or converts to their own use property mortgaged or pledged to a farm credit agency with intent to defraud?",The maximum term of imprisonment is five years.
